year,school,over_500,srs,pace,o_rtg,3pa_rate,ts_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,orb_percent
2017-18,Abilene Christian,TRUE,-9.14,71.5,102.3,0.35,0.549,49.7,55.4,11.3,11.6,17.7,28
2017-18,Air Force,FALSE,-4.31,67.7,100.8,0.431,0.527,48.7,60.7,9.5,8.1,16.3,27.5
2017-18,Akron,FALSE,-6.82,69,102.7,0.467,0.547,49.2,52.7,8.5,7.5,17.3,27.5
2017-18,Alabama A&M,FALSE,-23.97,68.2,88.2,0.354,0.48,48.2,50.5,5.8,3.9,20.9,29.9
2017-18,UAB,TRUE,4.9,69.4,109.8,0.334,0.575,54.8,59.3,7.7,11.6,16.5,31.2
2017-18,Alabama State,FALSE,-18.56,70.5,97,0.347,0.496,47.9,41.7,7.7,11.2,16.9,31.9
2017-18,Alabama NCAA,TRUE,12.34,70.2,103,0.355,0.55,50.3,50.3,9,14.7,17.8,29.4
2017-18,Albany (NY),TRUE,0.02,67.3,110.3,0.273,0.55,55.2,48.3,7,7.9,14.7,34.9
2017-18,Alcorn State,FALSE,-18.07,70.4,99.2,0.382,0.532,48.4,53,8.8,7.7,17.9,27.2
2017-18,American,FALSE,-14.63,67.3,96.7,0.439,0.531,45.1,52.6,10.7,9.1,18.3,23.7
2017-18,Appalachian State,FALSE,-4.83,72,104.6,0.433,0.539,52.3,47.6,8.2,8.9,16.3,30.8
2017-18,Arizona State NCAA,TRUE,14.37,72.2,113.6,0.413,0.576,49,51.6,9,9.9,13,27.9
2017-18,Arizona NCAA,TRUE,15.67,68.6,115.6,0.321,0.598,55.6,52.6,7.1,12,15.3,33.3
2017-18,Little Rock,FALSE,-10.45,66.6,94.2,0.355,0.505,49.1,52.1,7.4,9.5,18.5,28.9
2017-18,Arkansas-Pine Bluff,FALSE,-14.84,68.4,95.7,0.354,0.528,43.6,52.4,11.4,11.7,18.6,24
2017-18,Arkansas State,FALSE,-9.65,70.4,104.3,0.364,0.536,48.6,40.9,9.5,7.9,15.9,30.6
2017-18,Arkansas NCAA,TRUE,14.76,71.3,111.8,0.321,0.565,48.9,49.9,8.6,13.8,13.2,28.7
2017-18,Army,FALSE,-8.62,71.7,103.3,0.418,0.542,49.6,61.1,7.9,8.2,16.4,27.1
2017-18,Auburn NCAA,TRUE,15.97,73.4,111.5,0.432,0.557,51.7,53.1,10.1,15.2,14.1,32
2017-18,Austin Peay,TRUE,-3.28,70.1,104.7,0.294,0.532,52.2,49.5,9.4,8.9,16.8,35.7
2017-18,Ball State,TRUE,-1.22,71.1,104.7,0.384,0.548,51.1,52.9,7.4,8.9,16.1,27.9
2017-18,Baylor,TRUE,14.6,68.5,109.1,0.303,0.556,54.2,54.8,7.9,12.2,16.7,35.6
2017-18,Belmont,TRUE,5.54,68.5,113.3,0.542,0.61,51.5,58.7,7.1,6.5,16.3,25.2
2017-18,Bethune-Cookman,TRUE,-12.19,77.7,104.6,0.372,0.54,52.1,55.5,8.1,8.9,17.3,33.5
2017-18,Binghamton,FALSE,-10.27,67.9,101.6,0.378,0.53,49.6,47.8,8,11.6,15.8,26
2017-18,Boise State,TRUE,11.21,70.7,108.9,0.425,0.572,55.9,48.6,8,5.9,16.5,29.4
2017-18,Boston College,TRUE,9,70.1,107.7,0.395,0.554,51.6,51.9,7.1,8.8,15.5,29.6
2017-18,Boston University,FALSE,-8.33,68.7,102.6,0.355,0.548,50.1,52.5,10.8,9.8,17.6,29
2017-18,Bowling Green State,TRUE,-6.38,71.9,103.6,0.352,0.526,51.2,51.4,8.1,6.6,15,30
2017-18,Bradley,TRUE,2.07,66.3,101.7,0.343,0.528,51.8,58.2,9.8,12.9,17.3,31.9
2017-18,Brigham Young,TRUE,8.05,67.9,108.2,0.341,0.579,51,58,9.3,11,15.2,22.4
2017-18,Brown,FALSE,-7.78,72.7,104,0.361,0.534,50.7,48.6,8.7,8.1,15.7,30.3
2017-18,Bryant,FALSE,-18.75,71,98.2,0.401,0.509,44.7,54.1,8.6,3.9,15.9,26.1
2017-18,Bucknell NCAA,TRUE,4.49,72.4,110.3,0.392,0.576,50.8,52.3,7.5,10.4,15.1,27
2017-18,Buffalo NCAA,TRUE,7.99,73.9,113.4,0.406,0.572,51.4,54,8.4,10.1,14.3,31.8
2017-18,Butler NCAA,TRUE,16.92,69.6,111.1,0.374,0.57,51.3,47.9,9.3,8.2,13.9,27.4
